link_key,observed,counts,capacity [veh],tt_ff [min],speed_ff[mi/hr],inrix_id,pems_ids,link_type,id,rhoj,lane,ff_speed,length,alpha,beta,tf,k,inrix_id,speed_avg,speed_ref_avg,speed_hist_avg,tt_avg,speed_max,speed_sd,speed_cv,speed_hist_sd,speed_ref_sd,tt_sd,tt_var,tt_cv,road_closures,median_inc,median_age,incidents,bus_stops,intersections,date,hour,tf_inrix
"(0, 1621, '0')",0,,1800.000,0.098,45,1626615977,[],LWRLK,1,200.000,5,45,0.073,0.150,4.000,0.098,1800.000,1626615977.000,10.563,18.020,15.224,0.885,11.806,0.879,0.058,0.621,0.000,0.061,0.004,0.058,0.000,93.828,31.100,0,0,1,2019-10-27,17,0.372
"(61, 93, '0')",0,,1800.000,0.169,50,1626615885,[],LWRLK,2,200.000,2,50,0.141,0.150,4.000,0.169,1800.000,1626615885.000,31.379,36.040,25.632,0.578,33.554,2.182,0.085,0.932,0.000,0.046,0.002,0.085,0.000,66.653,34.400,2,0,0,2019-10-27,17,0.252
"(61, 51, '0')",0,,2400.000,0.396,65,,[],LWRLK,160,200.000,2,65,0.429,0.150,4.000,0.396,2400.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,66.653,34.400,6,0,0,2019-10-27,17,0.396
"(57, 51, '0')",0,,2000.000,0.192,25,1626615921,[],LWRLK,25,180.000,1,25,0.080,0.150,4.000,0.192,2000.000,1626615921.000,30.603,31.690,31.224,0.323,34.797,2.842,0.091,0.311,0.000,0.030,0.001,0.091,0.000,66.653,34.400,0,0,1,2019-10-27,17,0.138
"(708, 9, '0')",0,,1800.000,0.105,35,170250231,[],LWRLK,3,180.000,2,35,0.061,0.150,4.000,0.105,1800.000,170250231.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,66.653,34.400,0,0,1,2019-10-27,17,0.105
"(319, 9, '0')",0,,inf,0.000,99999,,[],PQULK,24,99999.000,1,99999,0.000,0.150,4.000,0.000,4990000128.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,2019-10-27,17,0.000
"(708, 738, '0')",0,,1800.000,0.123,45,441459740,[],LWRLK,1633,200.000,2,45,0.092,0.150,4.000,0.123,1800.000,441459740.000,15.068,19.263,16.466,0.652,20.505,5.158,0.313,0.359,0.000,0.291,0.085,0.313,0.000,66.653,34.400,0,0,1,2019-10-27,17,0.270
"(708, 733, '0')",0,,1800.000,0.199,45,441459739,[],LWRLK,1636,200.000,2,45,0.149,0.150,4.000,0.199,1800.000,441459739.000,21.437,24.855,20.816,0.335,24.233,2.612,0.125,0.621,0.000,0.031,0.001,0.125,0.000,66.653,34.400,0,0,2,2019-10-27,17,0.369
"(1556, 1731, '0')",0,,inf,0.000,99999,,[],DMDLK,4,99999.000,1,99999,0.000,0.150,4.000,0.000,4990000128.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,2019-10-27,17,0.000
"(160, 95, '0')",0,,1800.000,0.314,35,1626615745,[],LWRLK,5,180.000,2,35,0.183,0.150,4.000,0.314,1800.000,1626615745.000,29.204,39.768,34.331,0.310,34.175,4.786,0.139,0.311,0.000,0.059,0.003,0.139,0.000,66.653,34.400,0,0,0,2019-10-27,17,0.321
"(2, 43, '0')",1,1021.000,1800.000,0.229,60,1626704648,[601346],LWRLK,6,200.000,1,60,0.229,0.150,4.000,0.229,1800.000,1626704648.000,69.594,64.001,68.662,0.705,70.215,0.507,0.007,1.190,0.000,0.010,0.000,0.007,0.000,14.243,24.900,9,0,2,2019-10-27,17,0.196
"(99, 43, '0')",1,2560.000,2400.000,0.210,65,1626704648,[601346],LWRLK,242,200.000,3,65,0.228,0.150,4.000,0.210,2400.000,1626704648.000,69.594,64.001,68.662,0.705,70.215,0.507,0.007,1.190,0.000,0.010,0.000,0.007,0.000,21.600,26.000,14,0,0,2019-10-27,17,0.195
"(369, 164, '0')",1,1359.000,1800.000,0.035,60,1626729452,[601209],LWRLK,7,180.000,1,60,0.035,0.150,4.000,0.035,1800.000,1626729452.000,68.040,62.758,68.040,0.295,68.972,0.621,0.009,0.621,0.000,0.010,0.000,0.009,0.000,20.750,29.300,0,0,0,2019-10-27,17,0.030
"(669, 164, '0')",1,1553.000,2400.000,0.210,65,1626729452,[601209],LWRLK,1552,200.000,3,65,0.227,0.150,4.000,0.210,2400.000,1626729452.000,68.040,62.758,68.040,0.295,68.972,0.621,0.009,0.621,0.000,0.010,0.000,0.009,0.000,20.750,29.300,1,0,0,2019-10-27,17,0.197
"(3, 38, '0')",1,1202.500,1800.000,0.089,55,,"[601411, 602411]",LWRLK,8,200.000,1,55,0.082,0.150,4.000,0.089,1800.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.434,24.500,0,0,0,2019-10-27,17,0.089
"(3, 19, '0')",1,3627.000,2400.000,0.167,60,,[601411],LWRLK,9,200.000,3,60,0.167,0.150,4.000,0.167,2400.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.434,24.500,0,0,0,2019-10-27,17,0.167
"(4, 465, '0')",0,,2400.000,0.537,60,441671213,[],LWRLK,10,200.000,3,60,0.537,0.150,4.000,0.537,2400.000,441671213.000,30.137,26.719,24.389,0.178,31.690,3.107,0.127,0.311,0.000,0.015,0.000,0.127,0.000,42.500,36.500,0,1,1,2019-10-27,17,1.017
"(361, 412, '0')",1,594.000,1800.000,0.021,55,400421634,[602210],LWRLK,11,180.000,1,55,0.019,0.150,4.000,0.021,1800.000,400421634.000,63.535,62.758,68.972,0.273,67.729,4.164,0.060,0.000,0.000,0.021,0.000,0.060,0.000,20.750,29.300,2,0,0,2019-10-27,17,0.017
"(205, 412, '0')",1,594.000,2400.000,0.286,65,400421634,[602210],LWRLK,489,200.000,3,65,0.310,0.150,4.000,0.286,2400.000,400421634.000,63.535,62.758,68.972,0.273,67.729,4.164,0.060,0.000,0.000,0.021,0.000,0.060,0.000,20.750,29.300,7,0,2,2019-10-27,17,0.275
"(473, 4, '0')",1,1614.000,1800.000,0.156,60,1626686637,"[601413, 602413]",LWRLK,12,180.000,1,60,0.156,0.150,4.000,0.156,1800.000,1626686637.000,68.195,65.244,67.729,0.575,69.594,0.932,0.014,0.000,0.000,0.006,0.000,0.014,0.000,42.500,36.500,8,0,2,2019-10-27,17,0.134
"(252, 4, '0')",1,1724.800,2400.000,0.519,60,1626631905,[602413],LWRLK,614,200.000,3,60,0.519,0.150,4.000,0.519,2400.000,1626631905.000,67.729,65.244,67.263,0.230,69.594,1.522,0.023,0.311,0.000,0.000,0.000,0.023,0.000,42.205,21.100,26,0,3,2019-10-27,17,0.447
"(5, 519, '0')",0,,1800.000,0.019,35,429471497,[],LWRLK,13,200.000,1,35,0.011,0.150,4.000,0.019,1800.000,429471497.000,11.185,21.127,11.185,0.180,12.427,1.134,0.101,0.000,0.000,0.014,0.000,0.101,0.000,45.536,33.100,0,0,0,2019-10-27,17,0.053
"(5, 35, '0')",0,,1800.000,0.017,40,1626736434,[],LWRLK,14,200.000,3,40,0.012,0.150,4.000,0.017,1800.000,1626736434.000,9.631,21.127,11.185,0.840,10.563,0.802,0.072,0.000,0.000,0.068,0.005,0.072,0.000,45.536,33.100,0,0,1,2019-10-27,17,0.066
"(91, 35, '0')",0,,1800.000,0.156,40,429473541,[],LWRLK,225,200.000,3,40,0.104,0.150,4.000,0.156,1800.000,429473541.000,15.068,24.855,14.292,0.175,20.505,4.039,0.283,0.000,0.000,0.045,0.002,0.283,0.000,45.536,33.100,0,0,2,2019-10-27,17,0.304
"(510, 35, '0')",0,,1800.000,0.056,35,1626613838,[],LWRLK,1231,200.000,3,35,0.032,0.150,4.000,0.056,1800.000,1626613838.000,33.088,34.175,28.738,0.265,37.282,2.842,0.099,2.346,0.000,0.024,0.001,0.099,0.000,45.536,33.100,0,0,1,2019-10-27,17,0.052
"(6, 539, '0')",0,,1800.000,0.216,40,1626728177,[],LWRLK,15,200.000,3,40,0.144,0.150,4.000,0.216,1800.000,1626728177.000,18.486,24.233,19.263,0.607,27.962,7.650,0.397,0.000,0.000,0.294,0.087,0.397,0.000,36.974,29.000,0,0,2,2019-10-27,17,0.309
"(166, 539, '0')",0,,1800.000,0.132,40,1626667843,[],LWRLK,406,200.000,3,40,0.088,0.150,4.000,0.132,1800.000,1626667843.000,17.709,19.884,14.913,0.330,21.127,3.745,0.251,0.000,0.000,0.083,0.007,0.251,0.000,36.974,29.000,2,0,2,2019-10-27,17,0.249
"(557, 539, '0')",0,,1800.000,0.256,35,1626747729,[],LWRLK,1327,200.000,3,35,0.149,0.150,4.000,0.256,1800.000,1626747729.000,13.670,14.913,13.826,0.913,15.534,1.965,0.142,2.175,0.000,0.137,0.019,0.142,0.000,36.974,29.000,0,0,1,2019-10-27,17,0.576
"(6, 17, '0')",0,,1800.000,0.209,40,1626698650,[],LWRLK,16,200.000,4,40,0.140,0.150,4.000,0.209,1800.000,1626698650.000,20.971,19.884,14.913,0.490,24.233,2.346,0.157,0.000,0.000,0.052,0.003,0.157,0.000,36.974,29.000,1,0,1,2019-10-27,17,0.346
"(213, 17, '0')",0,,1800.000,0.223,40,441679111,[],LWRLK,517,200.000,4,40,0.149,0.150,4.000,0.223,1800.000,441679111.000,18.952,31.069,29.826,0.415,22.369,4.260,0.143,0.879,0.000,0.114,0.013,0.143,0.000,67.240,34.200,0,0,0,2019-10-27,17,0.399
"(830, 17, '0')",0,,1800.000,0.178,40,441461376,[],LWRLK,1913,200.000,4,40,0.119,0.150,4.000,0.178,1800.000,441461376.000,20.505,26.719,28.272,0.400,22.991,3.249,0.115,1.190,0.000,0.071,0.005,0.115,0.000,67.240,34.200,0,1,0,2019-10-27,17,0.310
"(865, 17, '0')",0,,1800.000,0.129,40,441679102,[],LWRLK,1993,200.000,4,40,0.086,0.150,4.000,0.129,1800.000,441679102.000,27.496,26.098,26.719,0.593,41.010,9.998,0.374,0.000,0.000,0.200,0.040,0.374,0.000,67.240,34.200,0,0,0,2019-10-27,17,0.126
"(493, 250, '0')",1,980.000,1800.000,0.117,55,,"[601215, 602215]",LWRLK,17,180.000,1,55,0.107,0.150,4.000,0.117,1800.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,42.205,21.100,0,0,1,2019-10-27,17,0.117
"(253, 250, '0')",1,1293.400,2400.000,0.806,65,1626706657,[602215],LWRLK,617,200.000,3,65,0.873,0.150,4.000,0.806,2400.000,1626706657.000,34.020,37.904,32.933,0.377,36.661,2.053,0.062,1.015,0.000,0.021,0.000,0.062,0.000,42.205,21.100,20,0,2,2019-10-27,17,1.429
"(7, 559, '0')",0,,1800.000,0.121,45,441458238,[],LWRLK,18,200.000,3,45,0.091,0.150,4.000,0.121,1800.000,441458238.000,17.864,29.826,23.923,0.637,19.884,2.842,0.119,0.621,0.000,0.122,0.015,0.119,0.000,66.653,34.400,0,0,0,2019-10-27,17,0.273
"(8, 640, '0')",1,505.000,2400.000,0.344,65,1626704618,[602345],LWRLK,19,200.000,4,65,0.373,0.150,4.000,0.344,2400.000,1626704618.000,69.594,62.758,68.662,0.422,71.458,1.829,0.027,0.621,0.000,0.005,0.000,0.027,0.000,36.042,24.600,16,0,0,2019-10-27,17,0.313
"(105, 82, '0')",0,,1800.000,0.043,35,,[],LWRLK,20,180.000,1,35,0.025,0.150,4.000,0.043,1800.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,66.653,34.400,0,0,1,2019-10-27,17,0.043
"(105, 23, '0')",0,,1800.000,0.119,45,429471468,[],LWRLK,254,200.000,3,45,0.089,0.150,4.000,0.119,1800.000,429471468.000,22.991,26.719,26.098,0.130,27.962,3.897,0.149,0.000,0.000,0.024,0.001,0.149,0.000,66.653,34.400,0,0,2,2019-10-27,17,0.191
"(62, 23, '0')",0,,1800.000,0.136,45,1626735696,[],LWRLK,165,200.000,2,45,0.102,0.150,4.000,0.136,1800.000,1626735696.000,10.097,29.826,23.923,0.438,13.049,3.102,0.130,0.621,0.000,0.136,0.019,0.130,0.000,66.653,34.400,0,0,1,2019-10-27,17,0.468
"(95, 23, '0')",0,,1800.000,0.439,25,1626615745,[],LWRLK,234,200.000,2,25,0.183,0.150,4.000,0.439,1800.000,1626615745.000,29.204,39.768,34.331,0.310,34.175,4.786,0.139,0.311,0.000,0.059,0.003,0.139,0.000,66.653,34.400,1,0,1,2019-10-27,17,0.321
"(9, 708, '0')",0,,1800.000,0.105,35,170451683,[],LWRLK,21,180.000,2,35,0.061,0.150,4.000,0.105,1800.000,170451683.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,66.653,34.400,0,0,1,2019-10-27,17,0.105
"(707, 708, '0')",0,,1800.000,0.146,45,441679176,[],LWRLK,1632,200.000,5,45,0.109,0.150,4.000,0.146,1800.000,441679176.000,13.826,24.855,20.816,0.635,16.777,3.224,0.155,0.621,0.000,0.152,0.023,0.155,0.000,66.653,34.400,0,0,1,2019-10-27,17,0.391
"(737, 708, '0')",0,,1800.000,0.118,45,441679174,[],LWRLK,1695,200.000,4,45,0.088,0.150,4.000,0.118,1800.000,441679174.000,20.350,19.884,17.398,0.297,27.340,6.117,0.352,0.717,0.000,0.107,0.011,0.352,0.000,66.653,34.400,0,0,1,2019-10-27,17,0.194
"(9, 1230, '0')",0,,inf,0.000,99999,,[],PQULK,26,99999.000,1,99999,0.000,0.150,4.000,0.000,4990000128.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,2019-10-27,17,0.000
"(82, 237, '0')",0,,1800.000,0.059,55,,[],LWRLK,22,180.000,1,55,0.054,0.150,4.000,0.059,1800.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,66.653,34.400,0,0,0,2019-10-27,17,0.059
