link_key,counts,pems_ids,date,hour
"(0, 1621, '0')",,[],2020-10-03,17
"(61, 93, '0')",,[],2020-10-03,17
"(61, 51, '0')",,[],2020-10-03,17
"(57, 51, '0')",,[],2020-10-03,17
"(708, 9, '0')",,[],2020-10-03,17
"(319, 9, '0')",,[],2020-10-03,17
"(708, 738, '0')",,[],2020-10-03,17
"(708, 733, '0')",,[],2020-10-03,17
"(1556, 1731, '0')",,[],2020-10-03,17
"(160, 95, '0')",,[],2020-10-03,17
"(2, 43, '0')",1396.000,[601346],2020-10-03,17
"(99, 43, '0')",1872.000,[601346],2020-10-03,17
"(369, 164, '0')",1704.000,[601209],2020-10-03,17
"(669, 164, '0')",1572.000,[601209],2020-10-03,17
"(3, 38, '0')",1284.000,"[601411, 602411]",2020-10-03,17
"(3, 19, '0')",3584.000,[601411],2020-10-03,17
"(4, 465, '0')",,[],2020-10-03,17
"(361, 412, '0')",411.000,[602210],2020-10-03,17
"(205, 412, '0')",411.000,[602210],2020-10-03,17
"(473, 4, '0')",1547.000,"[601413, 602413]",2020-10-03,17
"(252, 4, '0')",1719.200,[602413],2020-10-03,17
"(5, 519, '0')",,[],2020-10-03,17
"(5, 35, '0')",,[],2020-10-03,17
"(91, 35, '0')",,[],2020-10-03,17
"(510, 35, '0')",,[],2020-10-03,17
"(6, 539, '0')",,[],2020-10-03,17
"(166, 539, '0')",,[],2020-10-03,17
"(557, 539, '0')",,[],2020-10-03,17
"(6, 17, '0')",,[],2020-10-03,17
"(213, 17, '0')",,[],2020-10-03,17
"(830, 17, '0')",,[],2020-10-03,17
"(865, 17, '0')",,[],2020-10-03,17
"(493, 250, '0')",1279.500,"[601215, 602215]",2020-10-03,17
"(253, 250, '0')",1565.400,[602215],2020-10-03,17
"(7, 559, '0')",,[],2020-10-03,17
"(8, 640, '0')",558.000,[602345],2020-10-03,17
"(105, 82, '0')",,[],2020-10-03,17
"(105, 23, '0')",,[],2020-10-03,17
"(62, 23, '0')",,[],2020-10-03,17
"(95, 23, '0')",,[],2020-10-03,17
"(9, 708, '0')",,[],2020-10-03,17
"(707, 708, '0')",,[],2020-10-03,17
"(737, 708, '0')",,[],2020-10-03,17
"(9, 1230, '0')",,[],2020-10-03,17
"(82, 237, '0')",,[],2020-10-03,17
"(144, 237, '0')",,[],2020-10-03,17
"(62, 144, '0')",,[],2020-10-03,17
"(48, 144, '0')",,[],2020-10-03,17
"(57, 55, '0')",,[],2020-10-03,17
"(56, 55, '0')",,[],2020-10-03,17
"(93, 55, '0')",,[],2020-10-03,17
"(580, 142, '0')",1764.000,[602541],2020-10-03,17
"(12, 77, '0')",948.333,"[601529, 602259]",2020-10-03,17
"(143, 579, '0')",1492.000,[601541],2020-10-03,17
"(1217, 10, '0')",,[],2020-10-03,17
"(561, 10, '0')",,[],2020-10-03,17
"(1217, 1196, '0')",,[],2020-10-03,17
"(14, 414, '0')",,[],2020-10-03,17
"(577, 580, '0')",,[],2020-10-03,17
"(15, 14, '0')",,[],2020-10-03,17
"(579, 647, '0')",,[],2020-10-03,17
"(16, 221, '0')",,[],2020-10-03,17
"(873, 221, '0')",,[],2020-10-03,17
"(904, 221, '0')",,[],2020-10-03,17
"(1308, 221, '0')",,[],2020-10-03,17
"(16, 895, '0')",,[],2020-10-03,17
"(111, 895, '0')",,[],2020-10-03,17
"(17, 1250, '0')",,[],2020-10-03,17
"(1252, 1250, '0')",,[],2020-10-03,17
"(570, 1250, '0')",,[],2020-10-03,17
"(17, 6, '0')",,[],2020-10-03,17
"(539, 6, '0')",,[],2020-10-03,17
"(17, 1275, '0')",,[],2020-10-03,17
"(17, 213, '0')",,[],2020-10-03,17
"(847, 213, '0')",,[],2020-10-03,17
"(712, 728, '0')",,[],2020-10-03,17
"(712, 706, '0')",,[],2020-10-03,17
"(703, 706, '0')",,[],2020-10-03,17
"(715, 706, '0')",,[],2020-10-03,17
"(717, 706, '0')",,[],2020-10-03,17
"(729, 712, '0')",,[],2020-10-03,17
"(706, 712, '0')",,[],2020-10-03,17
"(70, 147, '0')",1092.500,"[601217, 601219]",2020-10-03,17
"(18, 1303, '0')",,[],2020-10-03,17
"(34, 1303, '0')",,[],2020-10-03,17
"(18, 5, '0')",,[],2020-10-03,17
"(150, 32, '0')",,[],2020-10-03,17
"(150, 287, '0')",,[],2020-10-03,17
"(560, 238, '0')",,[],2020-10-03,17
"(19, 309, '0')",3584.000,[601411],2020-10-03,17
"(135, 309, '0')",,[],2020-10-03,17
"(558, 115, '0')",703.000,"[601218, 602218]",2020-10-03,17
"(10, 1217, '0')",,[],2020-10-03,17
"(1214, 1217, '0')",,[],2020-10-03,17
"(1216, 1217, '0')",,[],2020-10-03,17
"(10, 1285, '0')",,[],2020-10-03,17
"(127, 555, '0')",,[],2020-10-03,17
"(1555, 1730, '0')",,[],2020-10-03,17
"(22, 76, '0')",,[],2020-10-03,17
