link_key,observed,counts,capacity [veh],tt_ff [min],speed_ff[mi/hr],inrix_id,pems_ids,link_type,id,rhoj,lane,ff_speed,length,alpha,beta,tf,k,inrix_id,speed_avg,speed_ref_avg,speed_hist_avg,tt_avg,speed_max,speed_sd,speed_cv,speed_hist_sd,speed_ref_sd,tt_sd,tt_var,tt_cv,road_closures,median_inc,median_age,incidents,bus_stops,intersections,date,hour,tf_inrix
"(0, 1621, '0')",0,,1800.000,0.098,45,1626615977,[],LWRLK,1,200.000,5,45,0.073,0.150,4.000,0.098,1800.000,1626615977.000,13.359,21.748,16.932,0.700,16.156,1.932,0.114,2.175,0.000,0.091,0.008,0.114,0.000,93.828,31.100,0,0,1,2020-10-20,16,0.272
"(61, 93, '0')",0,,1800.000,0.169,50,1626615885,[],LWRLK,2,200.000,2,50,0.141,0.150,4.000,0.169,1800.000,1626615885.000,41.943,39.768,41.166,0.440,47.224,6.428,0.156,3.418,0.000,0.073,0.005,0.156,0.000,66.653,34.400,0,0,0,2020-10-20,16,0.179
"(61, 51, '0')",0,,2400.000,0.396,65,,[],LWRLK,160,200.000,2,65,0.429,0.150,4.000,0.396,2400.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,66.653,34.400,2,0,0,2020-10-20,16,0.396
"(57, 51, '0')",0,,2000.000,0.192,25,1626615921,[],LWRLK,25,180.000,1,25,0.080,0.150,4.000,0.192,2000.000,1626615921.000,33.243,32.933,31.379,0.295,34.797,1.190,0.038,0.359,0.000,0.010,0.000,0.038,0.000,66.653,34.400,0,0,1,2020-10-20,16,0.138
"(708, 9, '0')",0,,1800.000,0.105,35,170250231,[],LWRLK,3,180.000,2,35,0.061,0.150,4.000,0.105,1800.000,170250231.000,22.991,22.991,,0.080,22.991,0.000,,,0.000,0.000,0.000,,0.000,66.653,34.400,0,0,1,2020-10-20,16,0.159
"(319, 9, '0')",0,,inf,0.000,99999,,[],PQULK,24,99999.000,1,99999,0.000,0.150,4.000,0.000,4990000128.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,2020-10-20,16,0.000
"(708, 738, '0')",0,,1800.000,0.123,45,441459740,[],LWRLK,1633,200.000,2,45,0.092,0.150,4.000,0.123,1800.000,441459740.000,17.088,21.748,14.292,0.525,18.020,0.802,0.056,0.000,0.000,0.021,0.000,0.056,0.000,66.653,34.400,0,0,1,2020-10-20,16,0.307
"(708, 733, '0')",0,,1800.000,0.199,45,441459739,[],LWRLK,1636,200.000,2,45,0.149,0.150,4.000,0.199,1800.000,441459739.000,20.350,26.098,18.020,0.343,21.748,1.634,0.091,0.000,0.000,0.025,0.001,0.091,0.000,66.653,34.400,0,0,2,2020-10-20,16,0.411
"(1556, 1731, '0')",0,,inf,0.000,99999,,[],DMDLK,4,99999.000,1,99999,0.000,0.150,4.000,0.000,4990000128.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,2020-10-20,16,0.000
"(160, 95, '0')",0,,1800.000,0.314,35,1626615745,[],LWRLK,5,180.000,2,35,0.183,0.150,4.000,0.314,1800.000,1626615745.000,41.477,42.875,42.253,0.215,45.981,3.102,0.073,1.522,0.000,0.010,0.000,0.073,0.000,66.653,34.400,0,0,0,2020-10-20,16,0.239
"(2, 43, '0')",1,1988.000,1800.000,0.229,60,1626704648,[601346],LWRLK,6,200.000,1,60,0.229,0.150,4.000,0.229,1800.000,1626704648.000,68.506,65.244,62.758,0.710,69.594,0.932,0.015,0.000,0.000,0.012,0.000,0.015,0.000,14.243,24.900,5,0,2,2020-10-20,16,0.197
"(99, 43, '0')",1,3042.000,2400.000,0.210,65,1626704648,[601346],LWRLK,242,200.000,3,65,0.228,0.150,4.000,0.210,2400.000,1626704648.000,68.506,65.244,62.758,0.710,69.594,0.932,0.015,0.000,0.000,0.012,0.000,0.015,0.000,21.600,26.000,3,0,0,2020-10-20,16,0.197
"(369, 164, '0')",1,2964.000,1800.000,0.035,60,1626729452,[601209],LWRLK,7,180.000,1,60,0.035,0.150,4.000,0.035,1800.000,1626729452.000,66.331,64.001,63.380,0.305,68.351,1.378,0.022,0.717,0.000,0.010,0.000,0.022,0.000,20.750,29.300,0,0,0,2020-10-20,16,0.031
"(669, 164, '0')",1,2676.000,2400.000,0.210,65,1626729452,[601209],LWRLK,1552,200.000,3,65,0.227,0.150,4.000,0.210,2400.000,1626729452.000,66.331,64.001,63.380,0.305,68.351,1.378,0.022,0.717,0.000,0.010,0.000,0.022,0.000,20.750,29.300,0,0,0,2020-10-20,16,0.199
"(3, 38, '0')",1,1806.500,1800.000,0.089,55,,"[601411, 602411]",LWRLK,8,200.000,1,55,0.082,0.150,4.000,0.089,1800.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.434,24.500,0,0,0,2020-10-20,16,0.089
"(3, 19, '0')",1,4667.000,2400.000,0.167,60,,[601411],LWRLK,9,200.000,3,60,0.167,0.150,4.000,0.167,2400.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.434,24.500,0,0,0,2020-10-20,16,0.167
"(4, 465, '0')",0,,2400.000,0.537,60,441671213,[],LWRLK,10,200.000,3,60,0.537,0.150,4.000,0.537,2400.000,441671213.000,26.253,27.962,25.010,0.198,28.583,2.796,0.112,0.782,0.000,0.024,0.001,0.112,0.000,42.500,36.500,0,1,1,2020-10-20,16,1.127
"(361, 412, '0')",1,1179.000,1800.000,0.021,55,400421634,[602210],LWRLK,11,180.000,1,55,0.019,0.150,4.000,0.021,1800.000,400421634.000,66.176,64.001,62.758,0.260,67.729,1.644,0.026,0.000,0.000,0.012,0.000,0.026,0.000,20.750,29.300,0,0,0,2020-10-20,16,0.017
"(205, 412, '0')",1,1179.000,2400.000,0.286,65,400421634,[602210],LWRLK,489,200.000,3,65,0.310,0.150,4.000,0.286,2400.000,400421634.000,66.176,64.001,62.758,0.260,67.729,1.644,0.026,0.000,0.000,0.012,0.000,0.026,0.000,20.750,29.300,7,0,2,2020-10-20,16,0.275
"(473, 4, '0')",1,2261.500,1800.000,0.156,60,1626686637,"[601413, 602413]",LWRLK,12,180.000,1,60,0.156,0.150,4.000,0.156,1800.000,1626686637.000,66.953,65.244,62.758,0.578,68.351,1.281,0.020,0.000,0.000,0.005,0.000,0.020,0.000,42.500,36.500,12,0,2,2020-10-20,16,0.137
"(252, 4, '0')",1,2315.400,2400.000,0.519,60,1626631905,[602413],LWRLK,614,200.000,3,60,0.519,0.150,4.000,0.519,2400.000,1626631905.000,66.021,65.865,62.758,0.240,67.729,1.553,0.025,0.000,0.000,0.012,0.000,0.025,0.000,42.205,21.100,25,0,3,2020-10-20,16,0.460
"(5, 519, '0')",0,,1800.000,0.019,35,429471497,[],LWRLK,13,200.000,1,35,0.011,0.150,4.000,0.019,1800.000,429471497.000,22.369,21.748,19.729,0.100,31.690,6.634,0.336,0.311,0.000,0.024,0.001,0.336,0.000,45.536,33.100,0,0,0,2020-10-20,16,0.021
"(5, 35, '0')",0,,1800.000,0.017,40,1626736434,[],LWRLK,14,200.000,3,40,0.012,0.150,4.000,0.017,1800.000,1626736434.000,22.369,21.748,19.729,0.380,31.690,6.634,0.336,0.311,0.000,0.103,0.011,0.336,0.000,45.536,33.100,0,0,1,2020-10-20,16,0.022
"(91, 35, '0')",0,,1800.000,0.156,40,429473541,[],LWRLK,225,200.000,3,40,0.104,0.150,4.000,0.156,1800.000,429473541.000,19.107,24.855,19.573,0.133,25.476,4.316,0.221,0.359,0.000,0.024,0.001,0.221,0.000,45.536,33.100,0,0,2,2020-10-20,16,0.244
"(510, 35, '0')",0,,1800.000,0.056,35,1626613838,[],LWRLK,1231,200.000,3,35,0.032,0.150,4.000,0.056,1800.000,1626613838.000,31.379,34.797,26.098,0.305,39.146,8.189,0.314,0.000,0.000,0.086,0.007,0.314,0.000,45.536,33.100,0,0,1,2020-10-20,16,0.050
"(6, 539, '0')",0,,1800.000,0.216,40,1626728177,[],LWRLK,15,200.000,3,40,0.144,0.150,4.000,0.216,1800.000,1626728177.000,22.991,24.855,19.263,0.425,24.233,0.879,0.046,0.879,0.000,0.021,0.000,0.046,0.000,36.974,29.000,0,0,2,2020-10-20,16,0.356
"(166, 539, '0')",0,,1800.000,0.132,40,1626667843,[],LWRLK,406,200.000,3,40,0.088,0.150,4.000,0.132,1800.000,1626667843.000,18.796,19.884,14.602,0.300,20.505,3.018,0.207,1.293,0.000,0.054,0.003,0.207,0.000,36.974,29.000,2,0,2,2020-10-20,16,0.257
"(557, 539, '0')",0,,1800.000,0.256,35,1626747729,[],LWRLK,1327,200.000,3,35,0.149,0.150,4.000,0.256,1800.000,1626747729.000,24.544,19.884,16.000,0.495,26.098,1.293,0.081,1.711,0.000,0.026,0.001,0.081,0.000,36.974,29.000,0,0,1,2020-10-20,16,0.343
"(6, 17, '0')",0,,1800.000,0.209,40,1626698650,[],LWRLK,16,200.000,4,40,0.140,0.150,4.000,0.209,1800.000,1626698650.000,18.796,19.884,14.602,0.560,20.505,3.018,0.207,1.293,0.000,0.107,0.011,0.207,0.000,36.974,29.000,1,0,1,2020-10-20,16,0.409
"(213, 17, '0')",0,,1800.000,0.223,40,441679111,[],LWRLK,517,200.000,4,40,0.149,0.150,4.000,0.223,1800.000,441679111.000,25.010,29.826,22.369,0.303,26.098,1.468,0.066,0.717,0.000,0.021,0.000,0.066,0.000,67.240,34.200,0,0,0,2020-10-20,16,0.342
"(830, 17, '0')",0,,1800.000,0.178,40,441461376,[],LWRLK,1913,200.000,4,40,0.119,0.150,4.000,0.178,1800.000,441461376.000,20.816,26.719,21.748,0.387,24.233,2.980,0.137,0.000,0.000,0.057,0.003,0.137,0.000,67.240,34.200,0,1,0,2020-10-20,16,0.294
"(865, 17, '0')",0,,1800.000,0.129,40,441679102,[],LWRLK,1993,200.000,4,40,0.086,0.150,4.000,0.129,1800.000,441679102.000,22.835,26.719,22.059,0.643,24.233,1.281,0.058,0.621,0.000,0.039,0.001,0.058,0.000,67.240,34.200,0,0,0,2020-10-20,16,0.213
"(493, 250, '0')",1,2374.500,1800.000,0.117,55,,"[601215, 602215]",LWRLK,17,180.000,1,55,0.107,0.150,4.000,0.117,1800.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,42.205,21.100,0,0,1,2020-10-20,16,0.117
"(253, 250, '0')",1,2372.600,2400.000,0.806,65,1626706657,[602215],LWRLK,617,200.000,3,65,0.873,0.150,4.000,0.806,2400.000,1626706657.000,33.243,31.690,24.544,0.395,37.282,4.466,0.182,0.359,0.000,0.061,0.004,0.182,0.000,42.205,21.100,15,0,2,2020-10-20,16,1.405
"(7, 559, '0')",0,,1800.000,0.121,45,441458238,[],LWRLK,18,200.000,3,45,0.091,0.150,4.000,0.121,1800.000,441458238.000,26.564,31.069,24.855,0.417,27.962,1.061,0.043,0.000,0.000,0.013,0.000,0.043,0.000,66.653,34.400,0,0,0,2020-10-20,16,0.194
"(8, 640, '0')",1,768.000,2400.000,0.344,65,1626704618,[602345],LWRLK,19,200.000,4,65,0.373,0.150,4.000,0.344,2400.000,1626704618.000,67.574,64.001,60.894,0.432,68.972,2.053,0.034,0.000,0.000,0.013,0.000,0.034,0.000,36.042,24.600,21,0,0,2020-10-20,16,0.324
"(105, 82, '0')",0,,1800.000,0.043,35,,[],LWRLK,20,180.000,1,35,0.025,0.150,4.000,0.043,1800.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,66.653,34.400,0,0,1,2020-10-20,16,0.043
"(105, 23, '0')",0,,1800.000,0.119,45,429471468,[],LWRLK,254,200.000,3,45,0.089,0.150,4.000,0.119,1800.000,429471468.000,22.059,29.204,24.855,0.140,23.612,1.190,0.048,0.000,0.000,0.012,0.000,0.048,0.000,66.653,34.400,0,0,2,2020-10-20,16,0.227
"(62, 23, '0')",0,,1800.000,0.136,45,1626735696,[],LWRLK,165,200.000,2,45,0.102,0.150,4.000,0.136,1800.000,1626735696.000,26.564,31.069,24.855,0.155,27.962,1.061,0.043,0.000,0.000,0.010,0.000,0.043,0.000,66.653,34.400,0,0,1,2020-10-20,16,0.218
"(95, 23, '0')",0,,1800.000,0.439,25,1626615745,[],LWRLK,234,200.000,2,25,0.183,0.150,4.000,0.439,1800.000,1626615745.000,41.477,42.875,42.253,0.215,45.981,3.102,0.073,1.522,0.000,0.010,0.000,0.073,0.000,66.653,34.400,1,0,1,2020-10-20,16,0.239
"(9, 708, '0')",0,,1800.000,0.105,35,170451683,[],LWRLK,21,180.000,2,35,0.061,0.150,4.000,0.105,1800.000,170451683.000,4.971,8.078,4.971,0.380,4.971,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,66.653,34.400,0,0,1,2020-10-20,16,0.736
"(707, 708, '0')",0,,1800.000,0.146,45,441679176,[],LWRLK,1632,200.000,5,45,0.109,0.150,4.000,0.146,1800.000,441679176.000,20.350,26.098,18.020,0.417,21.748,1.634,0.091,0.000,0.000,0.035,0.001,0.091,0.000,66.653,34.400,0,0,1,2020-10-20,16,0.301
"(737, 708, '0')",0,,1800.000,0.118,45,441679174,[],LWRLK,1695,200.000,4,45,0.088,0.150,4.000,0.118,1800.000,441679174.000,17.088,21.748,14.292,0.325,18.020,0.802,0.056,0.000,0.000,0.021,0.000,0.056,0.000,66.653,34.400,0,0,1,2020-10-20,16,0.294
