link_key,speed_ref_sd,tt_cv,tt_avg,road_closures,tt_sd,median_age,speed_avg,speed_hist_sd,median_inc,bus_stops,inrix_id,intersections,speed_cv,speed_hist_avg,speed_max,speed_ref_avg,tt_var,speed_sd,incidents,date,hour
"(0, 1621, '0')",0.000,0.076,0.672,0.000,0.071,31.100,13.981,2.175,93.828,0,1626615977.000,1,0.076,16.932,15.534,21.748,0.005,1.293,0,2020-10-06,16
"(61, 93, '0')",0.000,0.066,0.435,0.000,0.030,34.400,41.943,3.418,66.653,0,1626615885.000,0,0.066,41.166,43.496,39.768,0.001,2.708,0,2020-10-06,16
"(61, 51, '0')",0.000,0.000,0.000,0.000,0.000,34.400,0.000,0.000,66.653,0,,0,0.000,0.000,0.000,0.000,0.000,0.000,2,2020-10-06,16
"(57, 51, '0')",0.000,0.075,0.315,0.000,0.024,34.400,31.535,0.359,66.653,0,1626615921.000,1,0.075,31.379,34.797,32.933,0.001,2.346,0,2020-10-06,16
"(708, 9, '0')",0.000,,0.080,0.000,0.000,34.400,22.991,,66.653,0,170250231.000,1,,,22.991,22.991,0.000,0.000,0,2020-10-06,16
"(319, 9, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(708, 738, '0')",0.000,0.210,0.562,0.000,0.094,34.400,16.156,0.000,66.653,0,441459740.000,1,0.210,14.292,20.505,21.748,0.009,3.002,0,2020-10-06,16
"(708, 733, '0')",0.000,0.049,0.342,0.000,0.015,34.400,20.505,0.000,66.653,0,441459739.000,2,0.049,18.020,21.748,26.098,0.000,0.879,0,2020-10-06,16
"(1556, 1731, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(160, 95, '0')",0.000,0.124,0.235,0.000,0.031,34.400,38.836,1.522,66.653,0,1626615745.000,0,0.124,42.253,44.117,42.875,0.001,5.236,0,2020-10-06,16
"(2, 43, '0')",0.000,0.020,0.718,0.000,0.013,24.900,68.351,0.000,14.243,0,1626704648.000,2,0.020,62.758,68.972,65.244,0.000,1.243,5,2020-10-06,16
"(99, 43, '0')",0.000,0.020,0.718,0.000,0.013,26.000,68.351,0.000,21.600,0,1626704648.000,0,0.020,62.758,68.972,65.244,0.000,1.243,3,2020-10-06,16
"(369, 164, '0')",0.000,0.020,0.300,0.000,0.000,29.300,66.642,0.717,20.750,0,1626729452.000,0,0.020,63.380,68.351,64.001,0.000,1.281,0,2020-10-06,16
"(669, 164, '0')",0.000,0.020,0.300,0.000,0.000,29.300,66.642,0.717,20.750,0,1626729452.000,0,0.020,63.380,68.351,64.001,0.000,1.281,0,2020-10-06,16
"(3, 38, '0')",0.000,0.000,0.000,0.000,0.000,24.500,0.000,0.000,17.434,0,,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(3, 19, '0')",0.000,0.000,0.000,0.000,0.000,24.500,0.000,0.000,17.434,0,,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(4, 465, '0')",0.000,0.119,0.167,0.000,0.013,36.500,32.001,0.782,42.500,1,441671213.000,1,0.119,25.010,36.040,27.962,0.000,2.980,0,2020-10-06,16
"(361, 412, '0')",0.000,0.027,0.260,0.000,0.012,29.300,66.953,0.000,20.750,0,400421634.000,0,0.027,62.758,68.972,64.001,0.000,1.711,0,2020-10-06,16
"(205, 412, '0')",0.000,0.027,0.260,0.000,0.012,29.300,66.953,0.000,20.750,0,400421634.000,2,0.027,62.758,68.972,64.001,0.000,1.711,7,2020-10-06,16
"(473, 4, '0')",0.000,0.018,0.590,0.000,0.012,36.500,66.487,0.000,42.500,0,1626686637.000,2,0.018,62.758,67.729,65.244,0.000,1.134,12,2020-10-06,16
"(252, 4, '0')",0.000,0.017,0.240,0.000,0.012,21.100,66.021,0.000,42.205,0,1626631905.000,3,0.017,62.758,67.108,65.865,0.000,1.061,25,2020-10-06,16
"(5, 519, '0')",0.000,0.122,0.110,0.000,0.012,33.100,18.796,0.311,45.536,0,429471497.000,0,0.122,19.729,21.127,21.748,0.000,2.400,0,2020-10-06,16
"(5, 35, '0')",0.000,0.122,0.432,0.000,0.050,33.100,18.796,0.311,45.536,0,1626736434.000,1,0.122,19.729,21.127,21.748,0.002,2.400,0,2020-10-06,16
"(91, 35, '0')",0.000,0.218,0.112,0.000,0.025,33.100,22.991,0.359,45.536,0,429473541.000,2,0.218,19.573,26.098,24.855,0.001,4.275,0,2020-10-06,16
"(510, 35, '0')",0.000,0.096,0.388,0.000,0.043,33.100,23.146,0.000,45.536,0,1626613838.000,1,0.096,26.098,26.719,34.797,0.002,2.505,0,2020-10-06,16
"(6, 539, '0')",0.000,0.139,0.443,0.000,0.056,29.000,22.369,0.879,36.974,0,1626728177.000,2,0.139,19.263,26.098,24.855,0.003,2.685,0,2020-10-06,16
"(166, 539, '0')",0.000,0.078,0.365,0.000,0.031,29.000,15.534,1.293,36.974,0,1626667843.000,2,0.078,14.602,16.777,19.884,0.001,1.134,2,2020-10-06,16
"(557, 539, '0')",0.000,0.152,0.460,0.000,0.045,29.000,26.719,1.711,36.974,0,1626747729.000,1,0.152,16.000,29.204,19.884,0.002,2.433,0,2020-10-06,16
"(6, 17, '0')",0.000,0.078,0.672,0.000,0.046,29.000,15.534,1.293,36.974,0,1626698650.000,1,0.078,14.602,16.777,19.884,0.002,1.134,1,2020-10-06,16
"(213, 17, '0')",0.000,0.045,0.273,0.000,0.005,34.200,27.962,0.717,67.240,0,441679111.000,0,0.045,22.369,29.204,29.826,0.000,1.015,0,2020-10-06,16
"(830, 17, '0')",0.000,0.148,0.305,0.000,0.037,34.200,26.719,0.000,67.240,1,441461376.000,0,0.148,21.748,30.447,26.719,0.001,3.209,0,2020-10-06,16
"(865, 17, '0')",0.000,0.087,0.573,0.000,0.043,34.200,25.632,0.621,67.240,0,441679102.000,0,0.087,22.059,27.340,26.719,0.002,1.924,0,2020-10-06,16
"(493, 250, '0')",0.000,0.000,0.000,0.000,0.000,21.100,0.000,0.000,42.205,0,,1,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(253, 250, '0')",0.000,0.197,0.432,0.000,0.074,21.100,30.758,0.359,42.205,0,1626706657.000,2,0.197,24.544,36.661,31.690,0.005,4.826,15,2020-10-06,16
"(7, 559, '0')",0.000,0.072,0.400,0.000,0.024,34.400,28.117,0.000,66.653,0,441458238.000,0,0.072,24.855,30.447,31.069,0.001,1.785,0,2020-10-06,16
"(8, 640, '0')",0.000,0.020,0.445,0.000,0.010,24.600,65.555,0.000,36.042,0,1626704618.000,0,0.020,60.894,67.108,64.001,0.000,1.190,21,2020-10-06,16
"(105, 82, '0')",0.000,0.000,0.000,0.000,0.000,34.400,0.000,0.000,66.653,0,,1,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
