link_key,counts,pems_ids,date,hour
"(0, 1621, '0')",,[],2020-10-10,16
"(61, 93, '0')",,[],2020-10-10,16
"(61, 51, '0')",,[],2020-10-10,16
"(57, 51, '0')",,[],2020-10-10,16
"(708, 9, '0')",,[],2020-10-10,16
"(319, 9, '0')",,[],2020-10-10,16
"(708, 738, '0')",,[],2020-10-10,16
"(708, 733, '0')",,[],2020-10-10,16
"(1556, 1731, '0')",,[],2020-10-10,16
"(160, 95, '0')",,[],2020-10-10,16
"(2, 43, '0')",1370.000,[601346],2020-10-10,16
"(99, 43, '0')",2013.000,[601346],2020-10-10,16
"(369, 164, '0')",1784.000,[601209],2020-10-10,16
"(669, 164, '0')",1656.000,[601209],2020-10-10,16
"(3, 38, '0')",1392.000,"[601411, 602411]",2020-10-10,16
"(3, 19, '0')",3860.000,[601411],2020-10-10,16
"(4, 465, '0')",,[],2020-10-10,16
"(361, 412, '0')",561.000,[602210],2020-10-10,16
"(205, 412, '0')",561.000,[602210],2020-10-10,16
"(473, 4, '0')",1793.000,"[601413, 602413]",2020-10-10,16
"(252, 4, '0')",1890.200,[602413],2020-10-10,16
"(5, 519, '0')",,[],2020-10-10,16
"(5, 35, '0')",,[],2020-10-10,16
"(91, 35, '0')",,[],2020-10-10,16
"(510, 35, '0')",,[],2020-10-10,16
"(6, 539, '0')",,[],2020-10-10,16
"(166, 539, '0')",,[],2020-10-10,16
"(557, 539, '0')",,[],2020-10-10,16
"(6, 17, '0')",,[],2020-10-10,16
"(213, 17, '0')",,[],2020-10-10,16
"(830, 17, '0')",,[],2020-10-10,16
"(865, 17, '0')",,[],2020-10-10,16
"(493, 250, '0')",1458.000,"[601215, 602215]",2020-10-10,16
"(253, 250, '0')",1712.800,[602215],2020-10-10,16
"(7, 559, '0')",,[],2020-10-10,16
"(8, 640, '0')",577.000,[602345],2020-10-10,16
"(105, 82, '0')",,[],2020-10-10,16
"(105, 23, '0')",,[],2020-10-10,16
"(62, 23, '0')",,[],2020-10-10,16
"(95, 23, '0')",,[],2020-10-10,16
"(9, 708, '0')",,[],2020-10-10,16
"(707, 708, '0')",,[],2020-10-10,16
"(737, 708, '0')",,[],2020-10-10,16
"(9, 1230, '0')",,[],2020-10-10,16
"(82, 237, '0')",,[],2020-10-10,16
"(144, 237, '0')",,[],2020-10-10,16
"(62, 144, '0')",,[],2020-10-10,16
"(48, 144, '0')",,[],2020-10-10,16
"(57, 55, '0')",,[],2020-10-10,16
"(56, 55, '0')",,[],2020-10-10,16
"(93, 55, '0')",,[],2020-10-10,16
"(580, 142, '0')",2016.000,[602541],2020-10-10,16
"(12, 77, '0')",961.000,"[601529, 602259]",2020-10-10,16
"(143, 579, '0')",1641.000,[601541],2020-10-10,16
"(1217, 10, '0')",,[],2020-10-10,16
"(561, 10, '0')",,[],2020-10-10,16
"(1217, 1196, '0')",,[],2020-10-10,16
"(14, 414, '0')",,[],2020-10-10,16
"(577, 580, '0')",,[],2020-10-10,16
"(15, 14, '0')",,[],2020-10-10,16
"(579, 647, '0')",,[],2020-10-10,16
"(16, 221, '0')",,[],2020-10-10,16
"(873, 221, '0')",,[],2020-10-10,16
"(904, 221, '0')",,[],2020-10-10,16
"(1308, 221, '0')",,[],2020-10-10,16
"(16, 895, '0')",,[],2020-10-10,16
"(111, 895, '0')",,[],2020-10-10,16
"(17, 1250, '0')",,[],2020-10-10,16
"(1252, 1250, '0')",,[],2020-10-10,16
"(570, 1250, '0')",,[],2020-10-10,16
"(17, 6, '0')",,[],2020-10-10,16
"(539, 6, '0')",,[],2020-10-10,16
"(17, 1275, '0')",,[],2020-10-10,16
"(17, 213, '0')",,[],2020-10-10,16
"(847, 213, '0')",,[],2020-10-10,16
"(712, 728, '0')",,[],2020-10-10,16
"(712, 706, '0')",,[],2020-10-10,16
"(703, 706, '0')",,[],2020-10-10,16
"(715, 706, '0')",,[],2020-10-10,16
"(717, 706, '0')",,[],2020-10-10,16
"(729, 712, '0')",,[],2020-10-10,16
"(706, 712, '0')",,[],2020-10-10,16
"(70, 147, '0')",1250.000,"[601217, 601219]",2020-10-10,16
"(18, 1303, '0')",,[],2020-10-10,16
"(34, 1303, '0')",,[],2020-10-10,16
"(18, 5, '0')",,[],2020-10-10,16
"(150, 32, '0')",,[],2020-10-10,16
"(150, 287, '0')",,[],2020-10-10,16
"(560, 238, '0')",,[],2020-10-10,16
"(19, 309, '0')",3860.000,[601411],2020-10-10,16
"(135, 309, '0')",,[],2020-10-10,16
"(558, 115, '0')",819.500,"[601218, 602218]",2020-10-10,16
"(10, 1217, '0')",,[],2020-10-10,16
"(1214, 1217, '0')",,[],2020-10-10,16
"(1216, 1217, '0')",,[],2020-10-10,16
"(10, 1285, '0')",,[],2020-10-10,16
"(127, 555, '0')",,[],2020-10-10,16
"(1555, 1730, '0')",,[],2020-10-10,16
"(22, 76, '0')",,[],2020-10-10,16
"(23, 57, '0')",,[],2020-10-10,16
"(23, 7, '0')",,[],2020-10-10,16
"(1554, 1729, '0')",,[],2020-10-10,16
"(545, 557, '0')",,[],2020-10-10,16
